StudentID,Age,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,Activity
1001,17,19.8337228079,7,1,0,0,0,1,0,2.9291955917,_|violin
1002,18,15.4087560558,0,0,0,0,0,0,0,3.0429148334,_
1003,15,4.2105697688,26,0,0,0,0,0,0,0.1126022545,_
1004,17,10.028829474,14,0,1,1,0,0,0,2.0542181397,_|painting
1005,17,4.672495273,17,1,1,0,0,0,0,1.2880611818,_
1006,18,8.1912185453,0,0,0,1,0,0,0,3.0841836145,_|sculpture
1007,15,15.6016804747,10,0,1,0,1,0,0,2.7482374149,_|boxing
1008,15,15.4244963058,22,1,0,1,0,0,0,1.3601427123,_|sculpture
1009,17,4.562007558,1,0,0,0,1,0,1,2.8968191895,_|football|clarinnete
1010,16,18.4444663631,0,0,1,1,0,0,0,3.5734742103,_|theater
1011,17,11.8513636553,11,0,0,0,0,0,0,2.147171625,_
1012,17,7.5984858192,15,0,0,0,0,0,1,1.559594519,_|trumpet
1013,17,10.0387116156,21,0,1,1,0,0,0,1.5200778149,_|theater
1014,17,12.1014250688,21,0,1,0,1,0,0,1.7515809583,_|handball
1015,18,11.1978106369,9,1,0,0,0,0,0,2.3967881171,_
1016,15,9.7281007107,17,1,0,0,1,0,0,1.3415207165,_|basketball
1017,18,10.0986560818,14,0,0,1,1,0,0,2.2321752777,_|hockey|dancing
1018,18,3.5282382086,16,1,0,0,0,0,0,1.3844041757,_
1019,18,16.2546580861,29,0,0,1,0,0,1,0.4695533234,_|writing|trumpet
1020,17,10.8352063988,9,0,0,0,0,1,0,2.3957840945,_|trumpet
1021,16,2.6215972341,2,0,1,0,0,0,1,2.7784112999,_|trumpet
1022,15,15.3231420317,25,0,0,1,0,0,0,0.3468940367,_|dancing
1023,16,18.6488795675,29,1,0,0,0,0,0,0.3125462305,_
1024,18,18.9461379847,20,0,0,1,0,0,0,1.7701318768,_|dancing
1025,18,7.3803546482,15,0,0,0,0,0,0,1.5051556220000002,_
1026,16,2.7103374712,5,0,1,0,0,1,0,2.9778519183,_|harp
1027,16,10.3679925327,2,0,0,0,1,0,0,2.9487176719,_|athletic
